ID,Ubicación,Tipo,Superficie_Terreno_m2,Superficie_Construida_m2,Dormitorios,Baños,Cocina,Garage,Galpones,Servicios,Documentación,Precio_USD,Descripción
60,"La Paz, Sopocachi",Departamento,130,130.0,3,2,Sí,No,No,"Agua, Luz, Saneado, Alcantarillado",Saneado,90000,"Acabados de lujo y vista panorámica"
61,"Cochabamba, Centro",Casa,150,60.0,3,2,Sí,Sí,No,"Agua, Luz, Alcantarillado",Saneado,42000,"Casa de dos plantas con patio"
62,"Santa Cruz, Av. Banzer",Terreno,800,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,60000,"Ideal para construcción de edificio"
63,"Tarija, Centro",Departamento,75,75.0,2,1,Sí,No,No,"Agua, Luz, Saneado",Saneado,40000,"Cerca de todos los servicios"
64,"La Paz, Miraflores",Inmueble,200,80.0,4,2,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,75000,"Amplio y luminoso con vistas"
65,"El Alto, Urbanización Ciudad Satélite",Terreno,300,100.0,2,1,Sí,Sí,No,"Agua, Luz",Saneado,38000,"Terreno con buena ubicación"
66,"Cochabamba, Av. Pando",Casa,90,45.0,3,1,Sí,Sí,No,"Agua, Luz",Saneado,35000,"Casa pequeña y acogedora"
67,"Santa Cruz, Los Cuchis",Casa de Campo,600,150.0,4,3,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,150000,"Hermosa casa con piscina y jardín"
68,"Tarija, Av. 6 de Octubre",Terreno,1000,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,80000,"Ideal para proyecto agrícola"
69,"La Paz, San Miguel",Departamento,120,120.0,3,2,Sí,Sí,No,"Agua, Luz, Gas",Saneado,68000,"Cerca de transporte público"
70,"El Alto, Calle 4",Inmueble,400,200.0,5,3,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,85000,"Amplio y cómodo con garaje"
71,"Cochabamba, Zona Norte",Casa,110,70.0,3,2,Sí,No,No,"Agua, Luz, Saneado",Saneado,49000,"Casa en excelente estado"
72,"Santa Cruz, Zona Sur",Departamento,95,95.0,2,1,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,62000,"Cerca de tiendas y restaurantes"
73,"Tarija, El Portillo",Terreno,200,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,32000,"Terreno con acceso a carretera"
74,"La Paz, Villa Fatima",Casa,130,55.0,4,2,Sí,Sí,No,"Agua, Luz, Alcantarillado",Saneado,52000,"Casa bien distribuida"
75,"El Alto, Av. Juan Pablo II",Inmueble,300,150.0,5,3,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,80000,"Ideal para oficinas o vivienda"
76,"Cochabamba, Valle Hermoso",Casa,160,90.0,3,2,Sí,No,No,"Agua, Luz",Saneado,54000,"Casa de dos pisos con buen patio"
77,"Santa Cruz, Urbarí",Departamento,70,70.0,2,1,Sí,No,No,"Agua, Luz, Saneado",Saneado,39000,"Pequeño y acogedor"
78,"Tarija, Av. Santa Cruz",Terreno,400,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,50000,"Terreno ideal para proyectos"
79,"La Paz, La Florida",Casa,150,80.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,63000,"Casa familiar con jardín"
80,"El Alto, Zona Central",Inmueble,250,100.0,3,2,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,70000,"Cerca de mercado y transporte"
81,"Cochabamba, Alalay",Casa,120,75.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,43000,"Casa cómoda y bien ubicada"
82,"Santa Cruz, Pampa de la Isla",Casa de Campo,800,200.0,5,4,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,200000,"Casa grande con piscina"
83,"Tarija, Parque de la Unión",Terreno,300,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,35000,"Ideal para desarrollo urbano"
84,"La Paz, Cotahuma",Departamento,95,95.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,60000,"Ubicado en zona tranquila"
85,"El Alto, Av. 20 de Octubre",Inmueble,450,200.0,4,3,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,90000,"Amplio y luminoso"
86,"Cochabamba, La Recoleta",Casa,160,100.0,4,2,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,58000,"Casa con buena vista"
87,"Santa Cruz, Cañada",Casa de Campo,1000,150.0,6,5,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,180000,"Casa de campo con jardín"
88,"Tarija, Barrio Los Andes",Terreno,500,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,45000,"Ideal para edificación"
89,"La Paz, El Alto",Casa,200,100.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,75000,"Casa en barrio tranquilo"
90,"El Alto, Zona Norte",Inmueble,350,150.0,5,4,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,95000,"Ideal para familia grande"
91,"Cochabamba, Capinota",Casa,90,50.0,3,1,Sí,No,No,"Agua, Luz",Saneado,30000,"Casa pequeña y acogedora"
92,"Santa Cruz, La Estrella",Departamento,85,85.0,2,1,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,57000,"Departamento moderno"
93,"Tarija, El Portillo",Terreno,700,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,60000,"Terreno amplio y accesible"
94,"La Paz, Villa Salomé",Casa,140,60.0,4,2,Sí,Sí,No,"Agua, Luz, Alcantarillado",Saneado,53000,"Casa en buen estado"
95,"El Alto, Calle 6",Inmueble,300,120.0,3,2,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,75000,"Ideal para alquiler"
96,"Cochabamba, La Angostura",Casa,120,70.0,3,2,Sí,No,No,"Agua, Luz",Saneado,46000,"Casa en zona tranquila"
97,"Santa Cruz, Parque Urbano",Casa de Campo,1200,300.0,5,4,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,220000,"Casa con piscina y amplio jardín"
98,"Tarija, Av. 15 de Abril",Terreno,400,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,35000,"Terreno ideal para proyectos"
99,"La Paz, San Pedro",Departamento,100,100.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,68000,"Cerca de la plaza"
100,"El Alto, Zona Sur",Inmueble,250,150.0,4,2,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,80000,"Ideal para oficinas"
101,"Cochabamba, La Balconada",Casa,180,85.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,49000,"Casa con buen patio"
102,"Santa Cruz, El Urubó",Casa de Campo,1500,200.0,6,5,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,300000,"Casa de campo con vistas"
103,"Tarija, Avenida Sucre",Terreno,250,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,38000,"Ideal para construcción"
104,"La Paz, La Paz Centro",Casa,160,80.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,70000,"Casa en buena ubicación"
105,"El Alto, Av. 14 de Septiembre",Inmueble,300,150.0,4,3,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,85000,"Amplio y bien distribuido"
106,"Cochabamba, La Tercera",Casa,120,60.0,3,2,Sí,No,No,"Agua, Luz",Saneado,45000,"Casa pequeña y acogedora"
107,"Santa Cruz, Mairana",Casa de Campo,500,150.0,4,3,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,160000,"Casa con amplios jardines"
108,"Tarija, Av. Chaco",Terreno,600,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,50000,"Terreno ideal para proyectos agrícolas"
109,"La Paz, San Francisco",Departamento,90,90.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,65000,"Cerca de transporte"
110,"El Alto, Calle 10",Inmueble,350,120.0,5,3,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,92000,"Ideal para renta"
111,"Cochabamba, Huayna Potosí",Casa,140,75.0,4,2,Sí,Sí,No,"Agua, Luz, Alcantarillado",Saneado,52000,"Casa en buen estado"
112,"Santa Cruz, Av. Los Chacos",Casa de Campo,1200,250.0,6,5,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,250000,"Casa con piscina y amplios espacios"
113,"Tarija, La Loma",Terreno,400,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,37000,"Terreno con buena ubicación"
114,"La Paz, Sopocachi",Casa,180,90.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,70000,"Casa familiar con jardín"
115,"El Alto, Av. 2 de Agosto",Inmueble,500,200.0,5,4,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,100000,"Amplio y luminoso"
116,"Cochabamba, Vallegrande",Casa,150,80.0,3,2,Sí,No,No,"Agua, Luz",Saneado,47000,"Casa en excelente estado"
117,"Santa Cruz, El Torno",Casa de Campo,2000,400.0,8,7,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,400000,"Casa con hermosos jardines"
118,"Tarija, Av. 24 de Septiembre",Terreno,300,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,36000,"Ideal para construcción"
119,"La Paz, San Sebastián",Departamento,110,110.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,72000,"Cerca de todo"
120,"El Alto, Calle 15",Inmueble,400,200.0,4,3,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,90000,"Amplio y cómodo"
121,"Cochabamba, Santa Teresa",Casa,130,75.0,3,2,Sí,Sí,No,"Agua, Luz, Alcantarillado",Saneado,53000,"Casa bien distribuida"
122,"Santa Cruz, Siete Estrellas",Casa de Campo,1800,300.0,5,4,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,320000,"Casa de campo con vistas al río"
123,"Tarija, Av. La Paz",Terreno,350,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,38000,"Terreno ideal para proyectos"
124,"La Paz, Gran Poder",Casa,200,100.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,75000,"Casa con estilo colonial"
125,"El Alto, Av. 8 de Diciembre",Inmueble,450,200.0,4,3,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,100000,"Ideal para renta o familia grande"
126,"Cochabamba, Cala Cala",Casa,170,90.0,3,2,Sí,Sí,No,"Agua, Luz",Saneado,60000,"Casa en zona tranquila"
127,"Santa Cruz, La Angostura",Casa de Campo,1500,250.0,6,5,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,270000,"Casa de campo con amplios jardines"
128,"Tarija, Av. Gral. Busch",Terreno,500,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,44000,"Terreno ideal para proyectos inmobiliarios"
129,"La Paz, Villa Pabón",Departamento,120,120.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,68000,"Cerca de parques"
130,"El Alto, Av. 2 de agosto",Inmueble,500,250.0,5,4,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,95000,"Amplio y cómodo"
131,"Cochabamba, Alto San Pedro",Casa,140,75.0,3,2,Sí,Sí,No,"Agua, Luz, Alcantarillado",Saneado,54000,"Casa en buena ubicación"
132,"Santa Cruz, Santa Rosa",Casa de Campo,2000,400.0,6,5,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,350000,"Casa de campo con piscina"
133,"Tarija, Av. Gran Chaco",Terreno,400,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,39000,"Terreno ideal para construcción"
134,"La Paz, La Floresta",Casa,160,80.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,71000,"Casa familiar bien ubicada"
135,"El Alto, Av. 14 de septiembre",Inmueble,450,200.0,5,3,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,93000,"Ideal para oficinas"
136,"Cochabamba, Colcapirhua",Casa,120,70.0,3,2,Sí,No,No,"Agua, Luz",Saneado,48000,"Casa cómoda y acogedora"
137,"Santa Cruz, La Selva",Casa de Campo,1500,300.0,5,4,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,290000,"Casa de campo con extensos jardines"
138,"Tarija, Av. 24 de septiembre",Terreno,600,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,41000,"Terreno ideal para proyectos")
139,"La Paz, Obrajes",Departamento,110,110.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,69000,"Ubicado en zona tranquila"
140,"El Alto, Av. 6 de agosto",Inmueble,400,200.0,4,3,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,88000,"Ideal para familia grande"
141,"Cochabamba, Tiquipaya",Casa,170,80.0,3,2,Sí,Sí,No,"Agua, Luz, Alcantarillado",Saneado,55000,"Casa en zona tranquila"
142,"Santa Cruz, La Roca",Casa de Campo,1800,300.0,6,5,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,310000,"Casa con piscina y jardín"
143,"Tarija, Calle Potosí",Terreno,350,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,36000,"Terreno ideal para construcción"
144,"La Paz, Villa Fatima",Casa,200,100.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,77000,"Casa con buena distribución"
145,"El Alto, Av. 10 de noviembre",Inmueble,500,250.0,5,4,Sí,Sí,Sí,"Agua, Luz, Gas",Saneado,96000,"Amplio y moderno")
146,"Cochabamba, Sacaba",Casa,130,75.0,3,2,Sí,Sí,No,"Agua, Luz",Saneado,49000,"Casa en buen estado")
147,"Santa Cruz, La Paz",Casa de Campo,2200,400.0,8,7,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,440000,"Casa con amplios espacios")
148,"Tarija, Av. 14 de septiembre",Terreno,700,0.0,0,0,Sí,No,No,"Agua, Luz",Saneado,45000,"Terreno ideal para proyectos agrícolas")
149,"La Paz, San Antonio",Departamento,100,100.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,65000,"Cerca de todo")
150,"El Alto, Av. 4 de noviembre",Inmueble,500,250.0,5,4,Sí,Sí,Sí,"Agua, Luz, Saneado",Saneado,90000,"Ideal para renta y familia grande"
